"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2667";"http://almoune.fr/img/p/0.jpg";"Baking Powder Grand";"";"Accueil";"8.502370";"8.97";"-2";"1";
"1584";"http://almoune.fr/img/p/0.jpg";"Huile d'olive Extra Loukakos 5 L";"";"Huiles et vinaigres";"35.545024";"37.5";"-3";"1";
"1531";"http://almoune.fr/img/p/0.jpg";"Combi tendre 500gr.";"";"Accueil";"1.753555";"1.85";"-179";"1";
"1986";"http://almoune.fr/img/p/0.jpg";"Bokaj Cajou restaurant 1kg";"";"Accueil";"17.061611";"18";"-78";"1";
"2262";"http://almoune.fr/img/p/0.jpg";"Lentilles corail 900gr. Baladna";"";"Accueil";"2.360190";"2.49";"-11";"1";
"2781";"http://almoune.fr/img/p/0.jpg";"Charbon Fan 1 kg";"";"Accueil";"3.791667";"4.55";"-40";"1";
"2378";"http://almoune.fr/img/p/0.jpg";"Indomie spécial poulet X5 375g";"";"Accueil";"1.706161";"1.8";"-6";"1";
"2556";"http://almoune.fr/img/p/0.jpg";"Concombre sauvage 600gr ";"";"Accueil";"2.834123";"2.99";"0";"1";
"2953";"http://almoune.fr/img/p/0.jpg";"Halloumi Simos 225gr";"";"Accueil";"3.317536";"3.5";"-6";"1";
"3009";"http://almoune.fr/img/p/0.jpg";"Homos chtoura 310 gr";"";"Accueil";"1.421801";"1.5";"12";"1";
"2100";"http://almoune.fr/img/p/0.jpg";"pepite tournesol 1kg";"";"Accueil";"4.739336";"5";"0";"1";
"1475";"http://almoune.fr/img/p/0.jpg";"Boulghor gros brun Duru 1kg";"";"Légumineuses et grains";"1.886256";"1.99";"-1";"1";
"2723";"http://almoune.fr/img/p/0.jpg";"Oasis Tropical";"";"Accueil";"0.947867";"1";"24";"1";
"1423";"http://almoune.fr/img/p/0.jpg";"Shampoin d'Alep Au huile d'olive et de Laurier 400mL";"";"Accueil";"4.644550";"4.9";"1";"1";
